Indikator,Auspraegung,Jahr,Raumbezug,Indikatorwert,Basiswert1,Basiswert2,Basiswert3,Basiswert4,Basiswert5,NameBasiswert1,NameBasiswert2,NameBasiswert3,NameBasiswert4,NameBasiswert5
Baugenehmigungen,Wohnfläche,2019,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,75.7,61581,814,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,20 Hadern,105.4,9905,94,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,21 Pasing - Obermenzing,66.7,119292,1789,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,22 Aubing - Lochhausen - Langwied,70.9,80729,1139,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,23 Allach - Untermenzing,72.8,46210,635,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,24 Feldmoching - Hasenbergl,82.7,16614,201,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,25 Laim,65.3,27341,419,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2018,Stadt München,71.2,782305,10992,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2018,01 Altstadt - Lehel,80.4,643,8,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2018,02 Ludwigsvorstadt - Isarvorstadt,63.1,8966,142,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2018,03 Maxvorstadt,67.3,27170,404,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2018,04 Schwabing - West,81.2,8200,101,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2018,05 Au - Haidhausen,67.3,14801,220,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2018,06 Sendling,65.9,4220,64,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
